title,module
Anthropic Create Message,anthropic:CreateMessage
Google AI (Gemini) Generate Text,google-ai:GenerateText
Hugging Face Inference,huggingface:Inference
AWS S3 Upload File,aws-s3:UploadFile
AWS SES Send Email,aws-ses:SendEmail
AWS DynamoDB Put Item,aws-dynamodb:PutItem
AWS Lambda Invoke Function,aws-lambda:InvokeFunction
Azure Blob Upload File,azure-blob:UploadFile
Azure Functions Invoke,azure-functions:Invoke
PostgreSQL Execute Query,postgres:ExecuteQuery
MySQL Execute Query,mysql:ExecuteQuery
MSSQL Execute Query,mssql:ExecuteQuery
Snowflake Execute Query,snowflake:ExecuteQuery
Redshift Execute Query,redshift:ExecuteQuery
BigQuery Query,bigquery:Query
MongoDB Insert Document,mongodb:InsertDocument
Firestore Create Document,firestore:CreateDocument
Firebase Realtime DB Push,firebase-realtime:Push
Firebase Cloud Messaging Send,fcm:SendMessage
Elasticsearch Index Document,elasticsearch:IndexDocument
Algolia Save Object,algolia:SaveObject
Webflow Create Item,webflow:CreateItem
Webflow Update Item,webflow:UpdateItem
Typeform Watch Responses,typeform:WatchResponses
Jotform Watch Submissions,jotform:WatchSubmissions
SurveyMonkey Watch Responses,surveymonkey:WatchResponses
Bubble Data API,bubble:DataAPI
AppSheet Invoke Action,appsheet:InvokeAction
RSS Create,rss:CreateFeed
Weather Get Daily Forecast,weather:ActionGetDailyForecast
Webhook - Custom webhook,gateway:CustomWebHook
HTTP - Make a request,http:ActionSendData
HTTP - Get a file,http:ActionGetFile
JSON - Parse JSON,json:ParseJSON
JSON - Create JSON,json:CreateJSON
Text parser - RegExp parser,regexp:Parser
Text parser - HTML to text,regexp:HTMLToText
Text parser - RegExp replace,regexp:Replace
Tools - Set variable,util:SetVariable2
RSS - Watch RSS feed,rss:TriggerNewArticle
Flow control - Router,builtin:BasicRouter
Flow control - Feeder (iterator),builtin:BasicFeeder
Scenario - List scenario logs,make:listScenarioLogs
Weather - Get current weather,weather:ActionGetCurrentWeather
Image - Convert image,image:Convert
Google Sheets - Watch rows,google-sheets:watchRows
Google Sheets - Add row,google-sheets:addRow
Google Sheets - Update row,google-sheets:updateRow
Google Sheets - Get sheet content,google-sheets:getSheetContent
Google Drive - Upload a file,google-drive:uploadAFile
Google Email - Send an email,google-email:sendAnEmail
Airtable - Create a record,airtable:ActionCreateRecord
Airtable - Search records,airtable:ActionSearchRecords
Typeform - Watch responses,typeform.watchResponses
Facebook Lead Ads - Watch leads,facebook-lead-ads:WatchLeads
Shopify - Watch orders,shopify:watchOrders
Slack - Create a message,slack:createMessage
Perplexity AI - Create a chat completion,perplexity-ai:createAChatCompletion
Anthropic Claude - Create a message,anthropic-claude:createAMessage
Email - Send an email,email:sendEmail
Email - Watch emails,email:watchEmails
Gmail - Send an email,gmail:SendEmail
Gmail - Watch emails,gmail:WatchEmails
Google Calendar - Watch events,google-calendar:watchEvents
Google Calendar - Create an event,google-calendar:createEvent
Google Docs - Create a document,google-docs:createDocument
Google Docs - Get a document,google-docs:getDocument
Google Drive - Get a file,google-drive:getAFile
Google Drive - Copy a file,google-drive:copyAFile
Google Drive - Watch files,google-drive:watchFiles
Microsoft 365 Email - Send an email,microsoft365-email:SendAnEmail
Microsoft 365 Email - Watch emails,microsoft365-email:WatchEmails
Microsoft Excel - Add a row,excel:addRow
Microsoft Excel - Update a row,excel:updateRow
OneDrive - Upload a file,onedrive:uploadAFile
OneDrive - Get a file,onedrive:getAFile
Microsoft Teams - Create a message,teams:createMessage
Microsoft Teams - Watch channel messages,teams:watchChannelMessages
Twilio - Send an SMS,twilio:sendSms
Twilio - Watch incoming SMS,twilio:watchSms
Telegram Bot - Watch updates,telegram:watchUpdates
Telegram Bot - Send a message,telegram:sendMessage
Discord - Create a message,discord:createMessage
Discord - Watch messages,discord:watchMessages
Notion - Watch database items,notion:watchDatabaseItems
Notion - Create a database item,notion:createADatabaseItem
ClickUp - Create a task,clickup:createTask
ClickUp - Watch tasks,clickup:watchTasks
Asana - Create a task,asana:createTask
Asana - Watch tasks,asana:watchTasks
Trello - Create a card,trello:createCard
Trello - Watch cards,trello:watchCards
Monday.com - Create an item,monday:createItem
Monday.com - Watch items,monday:watchItems
HubSpot CRM - Create a contact,hubspot-crm:createContact
HubSpot CRM - Watch contacts,hubspot-crm:watchContacts
Pipedrive - Create a deal,pipedrive:createADeal
Pipedrive - Watch deals,pipedrive:watchDeals
Salesforce - Create a record,salesforce:createRecord
Salesforce - Watch records,salesforce:watchRecords
Stripe - Create a customer,stripe:createCustomer
